Tarih,Ortalama Açılış Fiyatı (USD),Ortalama Yüksek Fiyatı (USD),Ortalama Düşük Fiyatı (USD),Ortalama Kapanış Fiyatı (USD)
2014-01-07,922.2451,935.8451,788.0,788.0
2014-01-08,783.0,843.91865,768.0,825.9937500000001
2014-01-09,828.83095,849.0,787.3534,837.38
2014-01-10,829.2392999999998,848.0741000000002,816.1943,843.6791
2014-01-11,875.315,905.11685,872.255,896.7356
2014-01-12,893.5,898.5,857.2800000000001,866.0750000000002
2014-01-13,845.3149,850.6660999999999,800.7547500000001,820.6997500000001
2014-01-14,825.9167000000001,835.2048,807.55895,821.42245
2014-01-15,825.7687499999998,846.22645,819.46225,840.4342499999999
2014-01-16,844.10125,848.03125,816.2130999999999,819.2000000000002
2014-01-17,817.2000000000002,820.8456499999999,777.0,793.1
2014-01-18,803.485,816.06,797.5,805.0
2014-01-19,814.5,836.0350000000002,802.6211,836.0350000000002
2014-01-20,836.2561000000001,838.0061000000001,805.1142,824.68525
2014-01-21,818.0099999999999,829.6116999999999,804.1067499999999,817.445
2014-01-22,815.94,815.995,804.0,813.1
2014-01-23,819.1,821.64,802.6889,814.1047
2014-01-24,805.475,805.87,770.09915,780.93325
2014-01-25,787.91555,813.5,781.4185000000001,808.4
2014-01-26,805.49575,828.9579,763.005,812.2001
2014-01-27,812.8062999999999,816.9712999999998,741.0,756.11775
2014-01-28,765.3650000000001,812.4827,755.005,791.5
2014-01-29,787.25225,802.475,782.77885,797.105
2014-01-30,794.2905000000001,808.1938500000001,778.03505,801.9688499999999
2014-01-31,800.83155,806.6374499999998,791.4,801.5
2014-02-01,802.46495,821.0149,802.25995,813.9399
2014-02-02,813.23,825.21,810.23,814.99
2014-02-03,810.8584500000001,814.5578,801.08425,809.25
2014-02-04,808.8929000000002,813.1073,802.5499999999998,807.995
2014-02-05,804.5,809.0,783.0,786.665
2014-02-06,786.505,798.0,760.0,767.7716
2014-02-07,757.1349999999999,760.7509500000001,648.0,712.505
2014-02-08,702.505,719.7243000000002,676.005,685.245
2014-02-09,691.5409500000001,737.71,684.4009499999999,698.685
2014-02-10,704.0,726.0,586.0,697.0658
2014-02-11,713.6700000000001,740.8323,642.1304,666.9861000000001
2014-02-12,684.0643999999999,688.1594,640.79,668.495
2014-02-13,660.98765,665.96765,615.77,619.1828
2014-02-14,615.7,718.4500000000002,551.605,675.5
2014-02-15,661.6146,664.4300000000001,639.44,654.60665
2014-02-16,652.915,660.0,599.005,614.5
2014-02-17,623.5,664.4200000000001,618.0,648.755
2014-02-18,646.8299999999999,655.0,615.995,627.85
2014-02-19,630.9383,636.9928,622.5,626.71
2014-02-20,628.005,632.0,567.8570500000001,570.3683000000001
2014-02-21,563.53,590.25,539.26045,574.675
2014-02-22,584.48095,611.325,562.9461,603.0485
2014-02-23,604.25025,635.0261499999999,598.7552499999999,614.5450000000001
2014-02-24,603.585,613.135,538.2253499999999,548.9603500000001
2014-02-25,544.745,556.4,412.5,525.0
2014-02-26,541.50315,602.2351,537.0,583.62
2014-02-27,588.8866,596.2616,568.47,581.0
2014-02-28,580.0882,590.8452500000001,542.94285,558.4449999999999
2014-03-01,558.4,573.8865499999999,547.5,567.8446
2014-03-02,569.1800000000001,577.2407000000001,556.5,563.4300000000001
2014-03-03,568.43885,697.5,565.8820499999999,667.845
2014-03-04,666.2053000000001,688.62,643.13075,670.5
2014-03-05,665.635,677.88355,654.95,672.495
2014-03-06,671.22225,675.355,653.5,666.2850000000001
2014-03-07,666.2850000000001,666.5,613.725,626.895
2014-03-08,626.895,630.395,602.37495,617.0677499999999
2014-03-09,615.2498,637.0,611.20045,630.5
2014-03-10,629.7,633.7950000000001,610.9200000000001,622.1949999999999
2014-03-11,621.51,629.72,613.835,623.55
2014-03-12,623.36,653.475,621.9,642.475
2014-03-13,634.23005,647.5699999999999,632.75505,641.5
2014-03-14,636.9749999999999,641.985,627.645,630.21
2014-03-15,633.94,640.76,631.105,639.44
2014-03-16,638.84,639.745,632.015,635.0
2014-03-17,634.995,635.345,621.73,622.72
2014-03-18,623.0250000000001,624.03,601.01,615.185
2014-03-19,618.37,623.435,608.0550000000001,611.1
2014-03-20,610.005,625.255,581.0699999999999,585.73
2014-03-21,583.3,606.65,562.4,569.4
2014-03-22,564.995,567.425,545.5,562.655
